Country,1870-1880,1880-1890,1890-1900,1900-1913,1913-1929,1929-1938,1938-1950,1870-1900,1900-1929,1929-1950,1870-1950
North Africa,0.4,0.9,0.4,1.2,0.5,0.2,0.1,0.6,0.8,0.1,0.5
Algeria,1,1.9,0.6,1.1,1.1,-0.2,0,1.2,1.1,0,0.8
Egypt,0.3,0.8,0.1,1.6,-0.2,0.5,-1.2,0.4,0.6,-0.5,0.2
Libya,0.3,0.8,0.1,1.6,-0.2,1,0.1,0.4,0.6,0.5,0.5
Morocco,0.2,0.3,0.4,0.4,1.3,0,2.5,0.3,0.9,1.4,0.8
Tunisia,1.1,0.6,0.7,0.6,1.3,-0.4,0.5,0.8,1,0.1,0.7
Central Africa,-0.7,1,0.4,-0.2,-0.1,1.1,1.3,0.2,-0.2,1.3,0.4
Cameroon,-0.6,0.3,0.5,-0.1,-0.4,0.6,1.7,0.1,-0.3,1.2,0.3
CAR,-0.4,0.2,0.4,-0.1,-0.3,0.5,2,0,-0.2,1.3,0.3
Chad,-0.4,0.2,0.4,-0.1,-0.3,0.5,2,0,-0.2,1.3,0.3
Congo,-0.6,0.3,0.5,-0.1,-0.4,0.8,2.6,0.1,-0.3,1.8,0.4
DR Congo,0,2.9,0.3,-0.4,0.3,1.9,1.3,1.1,0,1.6,0.8
Gabon,-0.6,0.3,0.5,-0.1,-0.4,0.8,2.6,0.1,-0.3,1.8,0.4
West Africa,-0.3,0.2,0.3,0.8,-0.1,0,1.3,0.1,0.3,0.7,0.3
Benin,-0.7,0.3,0.6,-0.1,-0.5,0.2,2,0.1,-0.3,1.2,0.2
Burkina Faso,-0.4,0.2,0.4,-0.1,-0.3,0.1,1.4,0,-0.2,0.8,0.2
Cape Verde,0,0,0,0,0,3.2,1,0,0,1.9,0.5
C̫te d'Ivoire,-0.7,0.3,0.6,-0.1,-0.5,0.2,2,0.1,-0.3,1.2,0.2
Gambia,,,,,-2.5,-1.6,1.7,,,0.3,
Ghana,0.3,0.5,0.7,4.1,0.1,-0.2,1.5,0.5,1.9,0.7,1.1
Guinea,0,0,0,0,0,0,0.1,0,0,0.1,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0
Liberia,0,2.9,2,0.1,-0.3,1.5,0.3,1.6,-0.1,0.8,0.8
Mali,-0.4,0.2,0.4,-0.1,-0.3,0.1,1.4,0,-0.2,0.8,0.2
Mauritania,-0.6,0.3,0.5,-0.1,-0.4,0.2,1.8,0.1,-0.3,1.1,0.2
Niger,-0.4,0.2,0.4,-0.1,-0.3,0.1,1.4,0,-0.2,0.8,0.2
Nigeria,-0.4,-0.1,0.2,1,0.2,-0.1,1,-0.1,0.6,0.5,0.3
Senegal,-0.7,0.3,0.6,-0.1,-0.5,0.2,2,0.1,-0.3,1.2,0.2
Sierra Leone,-1.8,-1.2,-8.4,0.1,0.4,1.7,0.3,-3.8,0.2,0.9,-1.1
Togo,-0.7,0.3,0.6,-0.1,-0.5,-0.6,1.4,0.1,-0.3,0.5,0.1
S. Tom̩ &P,,,,0.4,-6.4,4.2,3.7,,-3.4,3.9,
East Africa,0.3,1.2,0.5,0.7,0.5,0.2,0.2,0.7,0.6,0.2,0.5
Burundi,0,0,0,2,0.8,-2.5,0.2,0,1.3,-0.9,0.2
Ethiopia,0,2.1,0.4,1,-0.4,0.7,-0.9,0.8,0.2,-0.2,0.3
Kenya,0.2,0.3,0.6,0,1.4,0.9,1.1,0.4,0.8,1,0.7
R̩union,,,,,,0.1,1.3,,,0.8,
Rwanda,0,0,2.9,3,0.8,-2.5,0.2,1,1.8,-0.9,0.8
Somalia,0,0,2.9,6.2,1.4,0.6,-0.9,1,3.5,-0.3,1.6
Sudan,2,0.1,0.4,1,0.6,0,1.2,0.8,0.8,0.7,0.8
Tanzania,0.2,0.3,0.6,0,0.1,-0.1,1,0.4,0.1,0.5,0.3
Uganda,0.2,0.3,0.6,0,0.8,0.6,0.8,0.4,0.4,0.7,0.5
Southern Africa,1.4,0.1,0.3,0.9,0.3,1.4,1.4,0.6,0.6,1.4,0.8
Angola,0.2,0.4,0.7,-0.1,0.2,0.6,2.9,0.5,0.1,1.9,0.7
Botswana,0,0,0,0,0,0,1.2,0,0,0.7,0.2
Lesotho,0,0,0,0,0,0,1.4,0,0,0.8,0.2
Madagascar,0.1,0.2,0.3,0.6,0.8,1,1.1,0.2,0.7,1,0.6
Malawi,0,0,0,0,0,0,0.6,0,0,0.4,0.1
Mauritius,1.3,-1.4,-1.2,0.1,-0.7,-0.8,2.5,-0.4,-0.4,1.1,0
Mozambique,0.2,0.4,0.7,-0.8,-0.3,-0.3,0.5,0.5,-0.5,0.2,0
Namibia,2,-0.5,-0.5,6.7,-1.7,-2,2.5,0.3,2.1,0.6,1
South Africa,2,-0.5,-0.5,1.9,0.4,2.1,2,0.3,1.1,2,1
Swaziland,0,0,0,2.2,2.8,0.9,0.5,0,2.5,0.7,1.1
Zambia,0,0,0,1.1,-0.3,6.8,0.6,0,0.4,3.3,1
Zimbabwe,0,0,2.9,5.4,-0.3,1.6,-2.1,1,2.3,-0.5,1.1
