Country,year,value
Angola,1820,48.93343
Argentina,1820,47.10099
Austria,1820,53.35227
Belgium,1820,62.43673
Benin,1820,47.95059
Brazil,1820,47.10099
Cameroon,1820,56.15046
Canada,1820,45.13605
Chile,1820,47.10099
China,1820,44.8543
Congo,1820,51.06881
Denmark,1820,54.14205
Egypt,1820,57.71468
France,1820,59
Ghana,1820,58.44026
Hungary,1820,47.41291
India,1820,32.8
Indonesia,1820,51.69444
Ireland,1820,44.58137
Italy,1820,53.86328
Japan,1820,53.15753
Mexico,1820,40.11364
Netherlands,1820,56.33
Nigeria,1820,54.85265
Norway,1820,43.73409
Peru,1820,57.39507
Poland,1820,34.51052
Portugal,1820,55.06711
Senegal,1820,45.90492
Spain,1820,38.04
Sweden,1820,55.44166
Switzerland,1820,41.73431
Thailand,1820,47.42689
Turkey,1820,57.71468
Ukraine,1820,45.56807
United Kingdom,1820,59.27
United States,1820,57.00726
Argentina,1850,33.68675
Armenia,1850,29.12185
Australia,1850,41.30739
Austria,1850,36.06522
Bangladesh,1850,41.82703
Belgium,1850,52.76835
Brazil,1850,36.88876
Bulgaria,1850,39.5
Canada,1850,26.73701
Chad,1850,50.61458
Chile,1850,63.61
China,1850,32.79879
Denmark,1850,51.47933
Egypt,1850,63.09967
France,1850,54.3298
Ghana,1850,42.92655
Hungary,1850,33.10527
India,1850,38.72911
Indonesia,1850,41.9696
Ireland,1850,29.63404
Italy,1850,50.53597
Japan,1850,45.76564
Malaysia,1850,25.26073
Mexico,1850,31.6158
Myanmar,1850,30.4921
Netherlands,1850,48.49462
Norway,1850,39.48906
Pakistan,1850,28.68893
Papua New Guinea,1850,25.7537
Peru,1850,45.09157
Philippines,1850,32.54966
Poland,1850,36.1977
Portugal,1850,33.4622
Slovenia,1850,27.71461
Spain,1850,31.60821
Sweden,1850,46.11219
Switzerland,1850,49.54624
Thailand,1850,42
Turkey,1850,37.42893
Ukraine,1850,30.2709
United Kingdom,1850,43.49139
United States,1850,43.79735
Afghanistan,1870,49.58121
Albania,1870,41.2354
Argentina,1870,52.2
Armenia,1870,59.54074
Australia,1870,47.54506
Azerbaijan,1870,73.7
Bangladesh,1870,50.1948
Belgium,1870,52.80577
Brazil,1870,39.2
Bulgaria,1870,47.82681
Canada,1870,43.79224
Chad,1870,48.14933
Chile,1870,59.4
China,1870,40.88247
Colombia,1870,58.94312
Denmark,1870,48.8166
Egypt,1870,44.76133
Finland,1870,50.58427
France,1870,58
Ghana,1870,56.06445
Greece,1870,49.93078
Hungary,1870,45.10877
India,1870,39.84651
Indonesia,1870,39
Iran,1870,49.36192
Iraq,1870,50.54431
Ireland,1870,38.539
Italy,1870,51.08167
Japan,1870,45.96279
Kenya,1870,46.31273
Kyrgyzstan,1870,45.95004
Latvia,1870,48.87745
Malawi,1870,45.71369
Malaysia,1870,40.92689
Mexico,1870,51.09479
Morocco,1870,48.64491
Mozambique,1870,52.60693
Myanmar,1870,46.06711
Netherlands,1870,56.5
Norway,1870,47.6508
Pakistan,1870,46.61834
Papua New Guinea,1870,45.24363
Peru,1870,53.40365
Philippines,1870,52.65354
Poland,1870,38.23717
Portugal,1870,51.58976
Rwanda,1870,59.01018
Slovenia,1870,43.38078
Spain,1870,33.5963
