"Entity","Year","pov_rate_20","pov_rate_10","pov_rate_5","pov_rate_2","number_in_poverty_20","number_in_poverty_10","number_in_poverty_5","number_in_poverty_2","poor_share_in_world_pop_20","poor_share_in_world_pop_10","poor_share_in_world_pop_5","poor_share_in_world_pop_2"
"China","1820","99.8307039098115","98.24582214663","90.0507048547451","57.7917965682962","380354981.896382","374316582.37866","343093185.496579","220186744.925209","35.9060779831428","35.3360440561631","32.3885087885639","20.7859573567849"
"E. Asia and Pacific excl. China","1820","99.2888453855598","96.2896022759543","86.6653982697766","58.2088269366732","84472963.8771266","81921267.8243364","73733187.5399606","49522905.7811828","7.97437386863411","7.73348995276175","6.96052295294176","4.67503622028382"
"Eastern Europe and Central Asia","1820","99.7644340976246","98.4470093710103","92.6033708220669","67.6145665005036","101153851.452304","99818078.9768636","93893056.1862532","68556233.2675704","9.54907455249564","9.42297563713037","8.86364464240841","6.47181074285627"
"India","1820","99.9904593195583","99.4963133055409","92.1568029660983","45.4399825027413","208980059.977877","207947294.808581","192607718.199145","94969563.4307292","19.7280295714167","19.6305349979997","18.1824560712543","8.96526853300886"
"Latin America and the Caribbean","1820","99.7231780166794","97.7896962587781","88.9110079688806","56.7810644446896","21029231.577317","20621506.5484313","18749203.6809892","11973767.5549632","1.98519084770767","1.94670099643805","1.76995281127887","1.13034152842425"
"Middle East and North Africa","1820","99.0981952671335","96.6946269346678","89.9183698814419","69.5873631072837","29458315.5041318","28743821.4199293","26729484.8553437","20685810.594119","2.78090895107963","2.71345964312536","2.52330326496595","1.95277139432684"
"South Asia excl. India","1820","99.9989979411763","99.9118953552916","97.6653819128654","68.4850462841067","34258949.6701108","34229108.9400295","33459469.3182147","23462492.646002","3.23409598144996","3.23127897199203","3.15862384298066","2.21489432431245"
"Sub-Saharan Africa","1820","99.4767130508812","97.32342682821","90.320805959808","67.9081867697295","46628411.6980848","45619086.8680297","42336699.6760601","31831076.7742173","4.40179165871325","4.30650988830605","3.99664763831497","3.00490115639872"
"Western Europe","1820","95.5296390888085","86.1058582398737","67.0126334302391","33.2301903992819","133413448.465516","120252516.291671","93587567.1881513","46408154.9623823","12.5944286590357","11.3520170187074","8.83480602503537","4.38099909412262"
"Western Offshoots","1820","93.4785670998814","81.5544472693533","61.0347817012701","29.2698504835809","10498577.8709877","9159379.97282107","6854816.33286965","3287296.90781097","0.991081420488596","0.86465914010545","0.647104892858194","0.310325734494416"
