"Country","Year","Share_below_10_a_day","Share_below_2_a_day","Share_below_20_a_day","Share_below_5_a_day","Region","Region_USSR_Yugo","GDP.per.capita","GDP.per.capita_source","Population","Population_source","baseline_GCIP_income_vZ","baseline_GCIP_income_vZ_source","alt_GCIP_consumption_vZ","alt_GCIP_consumption_vZ_source","alt_Povcal_vZ","alt_Povcal_vZ_source"
"Afghanistan","1820","99.209562629649","83.9736240542188","99.8756137234667","96.4209361609392","MENA","MENA","450.09600165288","Maddison - extrapolated using average regional growth rate","3280000","MDP","0.5771468","regional average","0.5771468","regional average","0.5771468","regional average"
"Afghanistan","1850","98.4906671382678","81.6153931696585","99.6668413087865","94.7602554790671","MENA","MENA","520.941489496653","Maddison - extrapolated using average regional growth rate","3808316.59045648","MDP Interpolated","0.6309967","regional average","0.6309967","regional average","0.6309967","regional average"
"Afghanistan","1870","99.2619458392876","76.8620669646009","99.9243055556938","95.5843883716589","MENA","MENA","569.946609683208","Maddison - extrapolated using average regional growth rate","4207000","MDP","0.4958121","van Zanden et al. (2014) - original","0.4958121","vZ_gini_original","0.4958121","vZ_gini_original"
"Afghanistan","1890","99.8035583712457","68.7361528100749","99.9954887281576","96.7998749079476","MENA","MENA","658.931155934352","Maddison - extrapolated using average regional growth rate","4857164.31575477","MDP Interpolated","0.3652764","van Zanden et al. (2014) - original","0.3652764","vZ_gini_original","0.3652764","vZ_gini_original"
"Afghanistan","1910","99.0999853475473","63.1120906519457","99.9402823168004","93.2019131866133","MENA","MENA","766.422474502486","Maddison - extrapolated using average regional growth rate","5607807.27127205","MDP Interpolated","0.4247902","van Zanden et al. (2014) - original","0.4247902","vZ_gini_original","0.4247902","vZ_gini_original"
"Afghanistan","1929","98.2420032718693","54.6279811950536","99.8479995051691","89.4233325215617","MENA","MENA","921.489621961011","Maddison - extrapolated using average regional growth rate","6672953.14961031","MDP Interpolated","0.43255035","regional average","0.43255035","regional average","0.43255035","regional average"
"Afghanistan","1950","96.9977928583364","41.5276137400639","99.7302950677971","83.6069984242059","MENA","MENA","1156","Maddison - original","8150000","MDP","0.413117133333333","regional average","0.413117133333333","regional average","0.413117133333333","regional average"
"Afghanistan","1960","96.6620215065498","29.3828413825632","99.7857434290081","79.1089322867117","MENA","MENA","1326","Maddison - original","9829000","MDP","0.36811183","GCIP (income) - original","0.29715302","GCIP_consumption_gini_original","0.5377836","regional average"
"Afghanistan","1970","97.0930996261094","31.5305134271126","99.8237099641696","80.8279425806855","MENA","MENA","1272","Maddison - original","12431000","MDP","0.36811183","GCIP (income) - original","0.29715302","GCIP_consumption_gini_original","0.490166675","regional average"
"Afghanistan","1980","98.6857860776465","43.8986880527331","99.9412887263698","88.4717192814994","MENA","MENA","1019","Maddison - original","15044000","MDP","0.36811183","GCIP (income) - original","0.29715302","GCIP_consumption_gini_original","0.363378776923077","regional average"
"Afghanistan","1990","98.9428307764726","47.2053174689597","99.9563419832825","90.0136856187099","MENA","MENA","963","Maddison - original","13568000","MDP","0.36811183","GCIP (income) - original","0.29715302","GCIP_consumption_gini_original","0.362978546153846","regional average"
"Afghanistan","2000","99.9456448480626","81.3651476784746","99.9991067920041","98.7579752730058","MENA","MENA","502","Maddison - original","22461000","MDP","0.36811183","GCIP (income) - original","0.29715302","GCIP_consumption_gini_original","0.359460023076923","regional average"
"Afghanistan","2005","98.9385375175031","47.1443563795654","99.9561012696923","89.9868013273408","MENA","MENA","964","Maddison - original","26335000","MDP","0.36811183","GCIP (income) - original","0.29715302","GCIP_consumption_gini_original","0.350240276923077","regional average"
